scope,provider,model,repositories,runs,reviewed_files,findings,findings_per_reviewed_file,unique_claims,unique_claims_per_reviewed_file,mean_words_per_finding,critical,high,medium,low,bug_or_correctness_or_reliability,maintainability,test,duplicate_or_rephrase,duplicate_rate,adjudicated_n,valid,partial,invalid,valid_rate,valid_or_partial_rate,usefulness_high,usefulness_medium,usefulness_low,stale_or_misattributed,stale_context_rate,fixed_after_pair,finding_level_action_rate,unique_claim_action_rate,line_located,has_suggestion,note
matched M001,Z.ai,GLM-5.2,vybestack/llxprt-code,1,90,61,0.677778,51,0.566667,93.508197,1,20,25,15,28,22,8,10,0.163934,61,35,22,4,0.573770,0.934426,9,16,36,18,0.295082,23,0.377049,0.313725,43,55,manual duplicate/adjudication/action/context metrics only for M001
matched M001,StepFun,Step-3.7-Flash,vybestack/llxprt-code,1,90,31,0.344444,29,0.322222,76.354839,0,11,15,5,22,7,2,2,0.064516,31,17,10,4,0.548387,0.870968,5,12,14,0,0.000000,10,0.322581,0.344828,29,14,manual duplicate/adjudication/action/context metrics only for M001
stratified retained sample,Z.ai,GLM-5.2,vybestack/llxprt-code;vybestack/llxprt-jefe;vybestack/llxprt-luther,3,148,102,0.689189,,,84.696078,1,34,39,28,53,32,10,,,,,,,,,,,,,,,,,82,77,unmatched stratified descriptive sample; duplicate/adjudication/action/context not assessed outside M001
stratified retained sample,StepFun,Step-3.7-Flash,vybestack/llxprt-code;vybestack/llxprt-jefe;vybestack/llxprt-luther,3,160,85,0.531250,,,71.858824,0,31,43,11,53,10,10,,,,,,,,,,,,,,,,,79,44,unmatched stratified descriptive sample; duplicate/adjudication/action/context not assessed outside M001
