cohort_id,repository,pr_number,pr_url,state,title,reviewed_sha,match_quality,ocr_author,ocr_reviewed_at,ocr_raw_findings,ocr_normalized_findings,coderabbit_author,coderabbit_reviewed_at,coderabbit_raw_findings,coderabbit_normalized_findings,review_gap_seconds,additions,deletions,changed_files,commits,retrieved_on
P01,vybestack/llxprt-code,2462,https://github.com/vybestack/llxprt-code/pull/2462,merged,"feat(mcp): support streamable-http transport alias SSE deprecation errors and OAuth dedup guard",66b27be6d45d96fdc18e972cbbba64748c90e22a,exact-head,github-actions[bot],2026-07-09T14:45:57Z,4,4,coderabbitai[bot],2026-07-09T14:50:38Z,1,1,281,731,131,15,17,2026-07-14
P02,vybestack/llxprt-code,2547,https://github.com/vybestack/llxprt-code/pull/2547,open,Make folder trust updates live,4a50e2b7a25746c93a349fcc65b61cde633f09d1,exact-head,github-actions[bot],2026-07-13T07:32:59Z,21,17,coderabbitai[bot],2026-07-13T07:36:52Z,1,1,233,11063,1050,100,17,2026-07-14
P03,vybestack/llxprt-jefe,181,https://github.com/vybestack/llxprt-jefe/pull/181,merged,Make select-to-copy work on forms choosers and confirm overlays,f2409b7fca9dd4e52f85473e6d162b1e17763b20,exact-head,github-actions[bot],2026-07-10T19:52:02Z,22,18,coderabbitai[bot],2026-07-10T20:02:40Z,8,8,638,2174,376,25,9,2026-07-14
P04,vybestack/llxprt-jefe,288,https://github.com/vybestack/llxprt-jefe/pull/288,merged,Port local repository workflows to native Windows,4e4a43c08bef2d9f55e50b48d18145cf001b75d9,exact-head,github-actions[bot],2026-07-14T01:25:24Z,5,5,coderabbitai[bot],2026-07-14T01:32:14Z,7,7,410,878,85,19,13,2026-07-14
P05,vybestack/llxprt-luther,110,https://github.com/vybestack/llxprt-luther/pull/110,merged,Add parent and sub-issue orchestration workflow,af9922e648900e2b557c93fe80ae47fa59d9c98b,exact-head,github-actions[bot],2026-07-05T18:58:40Z,23,21,coderabbitai[bot],2026-07-05T16:36:12Z,12,11,8548,8434,709,69,23,2026-07-14
P06,vybestack/llxprt-luther,133,https://github.com/vybestack/llxprt-luther/pull/133,merged,Keep external waits atomically resumable,2b7d7576c057f955d92aa21cd02c2a34e8c04db0,exact-head,github-actions[bot],2026-07-12T07:30:23Z,10,9,coderabbitai[bot],2026-07-12T07:30:50Z,3,3,27,6255,1109,20,1,2026-07-14
